0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:04 +0700] "GET /LinhWine/assets/user/img/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:05 +0700] "GET /LinhWine/assets/user/js/dist/vendor/wp-polyfill.min89b1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:05 +0700] "GET /LinhWine/assets/user/css/icons/fl-icons.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:05 +0700] "GET /LinhWine/assets/user/img/whisky3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:05 +0700] "GET /LinhWine/assets/user/img/whisky4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:05 +0700] "GET /LinhWine/assets/user/img/whisky5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:06 +0700] "GET /LinhWine/assets/user/img/rum.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:06 +0700] "GET /LinhWine/assets/user/img/vang2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:06 +0700] "GET /LinhWine/assets/user/img/absolut-electrik-mau-xanh-mau-bac-6.jpg HTTP/1.1" 200 33684
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:06 +0700] "GET /LinhWine/assets/user/img/mortlach18-4.png HTTP/1.1" 200 253256
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:06 +0700] "GET /LinhWine/assets/user/img/vang3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:06 +0700] "GET /LinhWine/assets/user/img/alexis-lichine-chardonnay-26.jpg HTTP/1.1" 200 21117
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:06 +0700] "GET /LinhWine/assets/user/img/vang-bich-france-maison-cabernet-sauvignon-3l-phap-2054.jpg HTTP/1.1" 200 79567
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:06 +0700] "GET /LinhWine/assets/user/img/vang1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:06 +0700] "GET /LinhWine/assets/user/img/saint-james-bitters-1078.jpg HTTP/1.1" 200 31824
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:06 +0700] "GET /LinhWine/assets/user/img/george-wyndham-shiraz-263.jpg HTTP/1.1" 200 16774
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:06 +0700] "GET /LinhWine/assets/user/img/hennessy-twins-vs-2022-3.png HTTP/1.1" 200 290054
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:06 +0700] "GET /LinhWine/assets/user/img/vang5.png HTTP/1.1" 304 -
