127.0.0.1 - - [16/Apr/2022:08:38:02 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:38:32 +0700] "GET /LinhWine/assets/user/js/zxcvbn-async.min5152.js HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:38:32 +0700] "GET /LinhWine/assets/user/js/wp-embed.min9f31.js HTTP/1.1" 200 1426
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:38:32 +0700] "GET /LinhWine/assets/user/js/woocommerce2916.js HTTP/1.1" 200 15151
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:38:32 +0700] "GET /LinhWine/assets/user/js/dist/i18n.min87d6.js HTTP/1.1" 200 10166
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:38:32 +0700] "GET /LinhWine/assets/user/js/dist/hooks.minf521.js HTTP/1.1" 200 6937
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:38:32 +0700] "GET /LinhWine/images/2021/03/logo.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:38:32 +0700] "GET /LinhWine/assets/user/js/dist/vendor/wp-polyfill.min89b1.js HTTP/1.1" 200 99319
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:38:32 +0700] "GET /LinhWine/assets/user/img/user.png HTTP/1.1" 200 22146
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:38:32 +0700] "GET /LinhWine/assets/user/img/icon_01.png HTTP/1.1" 200 2182
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:38:32 +0700] "GET /LinhWine/assets/user/js/flatsome2916.js HTTP/1.1" 200 159515
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:38:32 +0700] "GET /LinhWine/assets/user/js/password-strength-meter.min9f31.js HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:38:32 +0700] "GET /LinhWine/assets/user/js/frontend/password-strength-meter.min287d.js HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:38:33 +0700] "GET /LinhWine/assets/user/css/icons/fl-icons.woff2 HTTP/1.1" 200 6536
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:38:33 +0700] "GET /LinhWine/assets/user/img/whisky5.jpg HTTP/1.1" 200 126194
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:38:33 +0700] "GET /LinhWine/assets/user/img/whisky4.png HTTP/1.1" 200 180473
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:38:34 +0700] "GET /LinhWine/images/icons8-question-mark-96-5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:38:34 +0700] "GET /LinhWine/images/icons8-synchronize-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:38:34 +0700] "GET /LinhWine/assets/user/img/vang2.png HTTP/1.1" 200 122271
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:38:34 +0700] "GET /LinhWine/images/2021/03/cropped-logo-ico-small-1-32x32.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:38:34 +0700] "GET /LinhWine/assets/user/img/vang3.jpg HTTP/1.1" 200 48505
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:38:34 +0700] "GET /LinhWine/images/icons8-in-transit-filled-100-1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:38:34 +0700] "GET /LinhWine/images/icons8-handshake-filled-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:38:34 +0700] "GET /LinhWine/images/2021/03/cropped-logo-ico-small-1-192x192.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:38:34 +0700] "GET /LinhWine/assets/user/img/whisky3.jpg HTTP/1.1" 200 169249
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:38:34 +0700] "GET /LinhWine/assets/user/img/vang1.jpg HTTP/1.1" 200 48505
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:38:34 +0700] "GET /LinhWine/assets/user/img/vang4.jpg HTTP/1.1" 200 23158
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:38:34 +0700] "GET /LinhWine/assets/user/img/vang5.png HTTP/1.1" 200 125164
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:38:34 +0700] "GET /LinhWine/assets/user/img/slides/slide1.png HTTP/1.1" 200 73554
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:38:59 +0700] "GET /LinhWine/assets/user/img/slides/slide2.png HTTP/1.1" 200 472661
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:04 +0700] "GET /LinhWine/san-pham/1 HTTP/1.1" 200 56861
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:04 +0700] "GET /LinhWine/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:05 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:05 +0700] "GET /LinhWine/san-pham/images/2021/03/logo.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:05 +0700] "GET /LinhWine/san-pham/images/icons8-in-transit-filled-100-1.png HTTP/1.1" 500 4093
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:05 +0700] "GET /LinhWine/san-pham/images/icons8-question-mark-96-5.png HTTP/1.1" 500 4093
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:05 +0700] "GET /LinhWine/san-pham/images/icons8-handshake-filled-100.png HTTP/1.1" 500 4093
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:05 +0700] "GET /LinhWine/san-pham/images/icons8-synchronize-100.png HTTP/1.1" 500 4093
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:05 +0700] "GET /LinhWine/san-pham/images/2021/03/cropped-logo-ico-small-1-32x32.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:05 +0700] "GET /LinhWine/san-pham/images/2021/03/cropped-logo-ico-small-1-192x192.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:15 +0700] "GET /LinhWine/san-pham/2 HTTP/1.1" 200 57892
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:15 +0700] "GET /LinhWine/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:15 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:15 +0700] "GET /LinhWine/san-pham/images/2021/03/logo.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:15 +0700] "GET /LinhWine/assets/user/img/whisky1.jpg HTTP/1.1" 200 48972
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:15 +0700] "GET /LinhWine/assets/user/img/whisky2.jpg HTTP/1.1" 200 151352
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:15 +0700] "GET /LinhWine/san-pham/images/icons8-synchronize-100.png HTTP/1.1" 500 4093
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:15 +0700] "GET /LinhWine/san-pham/images/icons8-question-mark-96-5.png HTTP/1.1" 500 4093
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:15 +0700] "GET /LinhWine/san-pham/images/icons8-in-transit-filled-100-1.png HTTP/1.1" 500 4093
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:15 +0700] "GET /LinhWine/san-pham/images/icons8-handshake-filled-100.png HTTP/1.1" 500 4093
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:20 +0700] "GET /LinhWine/san-pham/5 HTTP/1.1" 200 45670
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:20 +0700] "GET /LinhWine/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:20 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:20 +0700] "GET /LinhWine/san-pham/images/2021/03/logo.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:20 +0700] "GET /LinhWine/san-pham/images/icons8-synchronize-100.png HTTP/1.1" 500 4093
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:20 +0700] "GET /LinhWine/san-pham/images/icons8-question-mark-96-5.png HTTP/1.1" 500 4093
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:20 +0700] "GET /LinhWine/san-pham/images/icons8-in-transit-filled-100-1.png HTTP/1.1" 500 4093
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:20 +0700] "GET /LinhWine/san-pham/images/icons8-handshake-filled-100.png HTTP/1.1" 500 4093
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:36 +0700] "GET /LinhWine/gio-hang HTTP/1.1" 200 49235
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:36 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:36 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:36 +0700] "GET /LinhWine/images/2021/03/logo.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:36 +0700] "GET /LinhWine/images/icons8-question-mark-96-5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:36 +0700] "GET /LinhWine/images/icons8-synchronize-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:36 +0700] "GET /LinhWine/images/icons8-in-transit-filled-100-1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:36 +0700] "GET /LinhWine/images/icons8-handshake-filled-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:38 +0700] "GET /LinhWine/ HTTP/1.1" 200 129157
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:38 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:38 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:38 +0700] "GET /LinhWine/images/2021/03/logo.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:39 +0700] "GET /LinhWine/images/icons8-question-mark-96-5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:39 +0700] "GET /LinhWine/images/icons8-synchronize-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:39 +0700] "GET /LinhWine/images/icons8-in-transit-filled-100-1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:39 +0700] "GET /LinhWine/images/icons8-handshake-filled-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:40 +0700] "GET /LinhWine/gio-hang HTTP/1.1" 200 49235
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:40 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:40 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:40 +0700] "GET /LinhWine/images/2021/03/logo.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:40 +0700] "GET /LinhWine/images/icons8-question-mark-96-5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:40 +0700] "GET /LinhWine/images/icons8-synchronize-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:40 +0700] "GET /LinhWine/images/icons8-in-transit-filled-100-1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:39:40 +0700] "GET /LinhWine/images/icons8-handshake-filled-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:56:20 +0700] "GET /LinhWine/ HTTP/1.1" 200 129157
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:56:20 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:56:20 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:56:20 +0700] "GET /LinhWine/images/2021/03/logo.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:56:20 +0700] "GET /LinhWine/images/icons8-question-mark-96-5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:56:20 +0700] "GET /LinhWine/images/icons8-synchronize-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:56:20 +0700] "GET /LinhWine/images/icons8-in-transit-filled-100-1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:08:56:20 +0700] "GET /LinhWine/images/icons8-handshake-filled-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:03:43 +0700] "GET /LinhWine/ HTTP/1.1" 200 129157
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:03:43 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:03:43 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:03:43 +0700] "GET /LinhWine/images/2021/03/logo.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:03:44 +0700] "GET /LinhWine/images/icons8-synchronize-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:03:44 +0700] "GET /LinhWine/images/icons8-question-mark-96-5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:03:44 +0700] "GET /LinhWine/images/icons8-in-transit-filled-100-1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:03:44 +0700] "GET /LinhWine/images/icons8-handshake-filled-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:40 +0700] "GET /LinhWine/san-pham/1 HTTP/1.1" 200 56861
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:40 +0700] "GET /LinhWine/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:40 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:40 +0700] "GET /LinhWine/san-pham/images/2021/03/logo.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:40 +0700] "GET /LinhWine/san-pham/images/icons8-question-mark-96-5.png HTTP/1.1" 500 4093
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:40 +0700] "GET /LinhWine/san-pham/images/icons8-synchronize-100.png HTTP/1.1" 500 4093
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:40 +0700] "GET /LinhWine/san-pham/images/icons8-in-transit-filled-100-1.png HTTP/1.1" 500 4093
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:40 +0700] "GET /LinhWine/san-pham/images/icons8-handshake-filled-100.png HTTP/1.1" 500 4093
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:47 +0700] "GET /LinhWine/san-pham/4 HTTP/1.1" 200 45663
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:47 +0700] "GET /LinhWine/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:47 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:47 +0700] "GET /LinhWine/san-pham/images/2021/03/logo.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:47 +0700] "GET /LinhWine/san-pham/images/icons8-question-mark-96-5.png HTTP/1.1" 500 3977
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:47 +0700] "GET /LinhWine/san-pham/images/icons8-synchronize-100.png HTTP/1.1" 500 3977
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:47 +0700] "GET /LinhWine/san-pham/images/icons8-in-transit-filled-100-1.png HTTP/1.1" 500 3977
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:47 +0700] "GET /LinhWine/san-pham/images/icons8-handshake-filled-100.png HTTP/1.1" 500 3977
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:53 +0700] "GET /LinhWine/gio-hang HTTP/1.1" 200 49235
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:53 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:53 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:53 +0700] "GET /LinhWine/images/2021/03/logo.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:53 +0700] "GET /LinhWine/images/icons8-question-mark-96-5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:53 +0700] "GET /LinhWine/images/icons8-synchronize-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:53 +0700] "GET /LinhWine/images/icons8-in-transit-filled-100-1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:53 +0700] "GET /LinhWine/images/icons8-handshake-filled-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:56 +0700] "GET /LinhWine/ HTTP/1.1" 200 129157
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:56 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:56 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:56 +0700] "GET /LinhWine/images/2021/03/logo.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:56 +0700] "GET /LinhWine/images/icons8-question-mark-96-5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:56 +0700] "GET /LinhWine/images/icons8-in-transit-filled-100-1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:56 +0700] "GET /LinhWine/images/icons8-synchronize-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:06:56 +0700] "GET /LinhWine/images/icons8-handshake-filled-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:17:59 +0700] "GET /LinhWine/ HTTP/1.1" 200 129157
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:17:59 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:17:59 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:17:59 +0700] "GET /LinhWine/images/2021/03/logo.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:18:00 +0700] "GET /LinhWine/images/icons8-question-mark-96-5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:18:00 +0700] "GET /LinhWine/images/icons8-synchronize-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:18:00 +0700] "GET /LinhWine/images/icons8-in-transit-filled-100-1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:18:00 +0700] "GET /LinhWine/images/icons8-handshake-filled-100.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:18:14 +0700] "GET /LinhWine/san-pham/6 HTTP/1.1" 200 45674
0:0:0:0:0:0:0:1 - - [16/Apr/2022:09:18:14 +0700] "GET /LinhWine/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 682
