0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:11 +0700] "GET /LinhWine/assets/user/css/flatsome-shop2916.css?ver=3.13.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:11 +0700] "GET /LinhWine/assets/user/css/style6aec.css?ver=3.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:11 +0700] "GET /LinhWine/assets/user/css/style9632.css?ver=1.2.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:11 +0700] "GET /LinhWine/assets/user/js/jquery/jquery-migrate.mind617.js?ver=3.3.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:11 +0700] "GET /LinhWine/assets/user/css/flatsome2916.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:11 +0700] "GET /LinhWine/assets/user/js/jquery/jquery.min9d52.js?ver=3.5.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:12 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:12 +0700] "GET /LinhWine/assets/user/vendor/superfish/superfish.min9632.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:12 +0700] "GET /LinhWine/assets/user/vendor/superfish/hoverIntent9632.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:12 +0700] "GET /LinhWine/assets/user/js/ot-vertical-menu.min9632.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:12 +0700] "GET /LinhWine/assets/user/js/frontend/woocommerce.min287d.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:12 +0700] "GET /LinhWine/assets/user/js/frontend/cart-fragments.min287d.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:12 +0700] "GET /LinhWine/assets/user/js/hoverIntent.minc245.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:12 +0700] "GET /LinhWine/assets/user/js/jquery-blockui/jquery.blockUI.min44fd.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:12 +0700] "GET /LinhWine/assets/user/js/frontend/add-to-cart.min287d.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:12 +0700] "GET /LinhWine/assets/user/js/js-cookie/js.cookie.min6b25.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:12 +0700] "GET /LinhWine/assets/user/js/zxcvbn-async.min5152.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:13 +0700] "GET /LinhWine/assets/user/js/flatsome-lazy-load2916.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:09:02:13 +0700] "GET /LinhWine/assets/user/js/woocommerce2916.js HTTP/1.1" 304 -
