127.0.0.1 - - [12/May/2022:08:44:16 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/May/2022:08:44:17 +0700] "GET /LinhWine/ HTTP/1.1" 200 122548
0:0:0:0:0:0:0:1 - - [12/May/2022:08:44:17 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [12/May/2022:08:44:17 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [12/May/2022:08:44:18 +0700] "GET /LinhWine/assets/user/img/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:08:44:18 +0700] "GET /LinhWine/assets/user/img/rum.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:08:44:18 +0700] "GET /LinhWine/images/2021/03/cropped-logo-ico-small-1-32x32.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [12/May/2022:08:44:18 +0700] "GET /LinhWine/images/2021/03/cropped-logo-ico-small-1-192x192.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [12/May/2022:08:44:31 +0700] "GET /LinhWine/dang-nhap HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [12/May/2022:08:44:31 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/May/2022:08:44:34 +0700] "GET /LinhWine/dang-ky HTTP/1.1" 200 1993
0:0:0:0:0:0:0:1 - - [12/May/2022:08:45:15 +0700] "POST /LinhWine/dang-ky HTTP/1.1" 200 2081
0:0:0:0:0:0:0:1 - - [12/May/2022:08:48:50 +0700] "GET /LinhWine/dang-ky HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [12/May/2022:08:49:01 +0700] "POST /LinhWine/dang-ky HTTP/1.1" 200 2096
0:0:0:0:0:0:0:1 - - [12/May/2022:08:49:04 +0700] "GET /LinhWine/dang-ky HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [12/May/2022:08:49:16 +0700] "POST /LinhWine/dang-ky HTTP/1.1" 200 2096
0:0:0:0:0:0:0:1 - - [12/May/2022:08:49:27 +0700] "POST /LinhWine/dang-ky HTTP/1.1" 200 2110
0:0:0:0:0:0:0:1 - - [12/May/2022:08:49:55 +0700] "POST /LinhWine/dang-ky HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [12/May/2022:08:51:25 +0700] "POST /LinhWine/dang-ky HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [12/May/2022:08:54:05 +0700] "GET /LinhWine/dang-nhap HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [12/May/2022:08:54:08 +0700] "GET /LinhWine/dang-ky HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [12/May/2022:08:54:32 +0700] "POST /LinhWine/dang-ky HTTP/1.1" 200 1507
0:0:0:0:0:0:0:1 - - [12/May/2022:08:54:37 +0700] "POST /LinhWine/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2022:08:54:37 +0700] "GET /LinhWine/dang-nhap HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [12/May/2022:08:54:51 +0700] "POST /LinhWine/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2022:08:54:51 +0700] "GET /LinhWine/ HTTP/1.1" 200 123171
0:0:0:0:0:0:0:1 - - [12/May/2022:08:54:51 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [12/May/2022:08:54:51 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [12/May/2022:08:55:01 +0700] "GET /LinhWine/thong-tin-tai-khoan HTTP/1.1" 200 39485
0:0:0:0:0:0:0:1 - - [12/May/2022:08:55:01 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
